S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
2293,USA,2018,DDoS,Banking,"$6,610,000","646,433",Insider,Social Engineering,Firewall,37
2294,Brazil,2017,Man in the Middle,Government,"$68,030,000","403,770",Hacker Group,Weak Passwords,Encryption,22
2295,Germany,2018,SQL Injection,Retail,"$75,630,000","814,701",Hacker Group,Social Engineering,Antivirus,63
2296,China,2019,Ransomware,IT,"$72,290,000","666,683",Hacker Group,Zero-day,Encryption,34
2297,Germany,2016,DDoS,Banking,"$44,170,000","236,438",Hacker Group,Weak Passwords,Antivirus,24
2298,Russia,2020,DDoS,Education,"$60,940,000","798,113",Insider,Social Engineering,Antivirus,23
2299,Germany,2021,Malware,Healthcare,"$23,340,000","518,982",Hacker Group,Weak Passwords,VPN,20
2300,Germany,2015,DDoS,IT,"$76,990,000","252,225",Unknown,Unpatched Software,Antivirus,67
2301,USA,2017,SQL Injection,Government,"$60,660,000","5,346",Unknown,Zero-day,Antivirus,69
2302,China,2017,DDoS,Retail,"$19,360,000","4,814",Unknown,Social Engineering,AI-based Detection,42
2303,Brazil,2021,SQL Injection,Banking,"$50,610,000","772,512",Hacker Group,Weak Passwords,Encryption,42
2304,Australia,2023,Phishing,Education,"$81,810,000","16,360",Nation-state,Unpatched Software,AI-based Detection,37
2305,India,2024,Phishing,Communications,"$38,680,000","224,143",Nation-state,Social Engineering,Antivirus,60
2306,Russia,2023,SQL Injection,IT,"$52,350,000","743,325",Insider,Weak Passwords,VPN,9
2307,France,2019,Phishing,Education,"$81,470,000","597,542",Unknown,Weak Passwords,VPN,11
2308,Russia,2024,Malware,Education,"$55,150,000","913,591",Hacker Group,Zero-day,AI-based Detection,51
2309,Japan,2023,SQL Injection,IT,"$8,240,000","183,702",Nation-state,Zero-day,VPN,57
2310,China,2024,Ransomware,Healthcare,"$42,260,000","685,837",Insider,Social Engineering,VPN,68
2311,India,2015,Phishing,Healthcare,"$28,600,000","690,500",Hacker Group,Weak Passwords,Encryption,11
2312,India,2016,SQL Injection,Banking,"$4,310,000","520,308",Insider,Zero-day,VPN,39
2313,India,2020,Phishing,Education,"$17,430,000","84,643",Nation-state,Unpatched Software,Antivirus,53
2314,France,2023,Malware,Healthcare,"$85,280,000","762,282",Hacker Group,Social Engineering,Firewall,11
2315,France,2022,Malware,Education,"$70,460,000","427,144",Unknown,Social Engineering,Firewall,42
2316,Russia,2018,Man in the Middle,Banking,"$86,870,000","800,683",Nation-state,Unpatched Software,Firewall,57
2317,Japan,2024,Man in the Middle,Education,"$46,390,000","662,101",Insider,Social Engineering,VPN,7
2318,Australia,2016,Malware,IT,"$30,720,000","977,343",Hacker Group,Weak Passwords,VPN,47
2319,India,2021,Ransomware,Education,"$86,730,000","534,013",Unknown,Unpatched Software,Firewall,49
2320,China,2024,SQL Injection,Education,"$18,450,000","947,933",Insider,Social Engineering,Antivirus,10
2321,Australia,2017,Malware,Retail,"$9,250,000","692,167",Unknown,Weak Passwords,Encryption,70
2322,Japan,2023,Malware,IT,"$23,160,000","320,277",Unknown,Weak Passwords,Encryption,69
2323,Japan,2017,Ransomware,Retail,"$49,750,000","163,062",Unknown,Unpatched Software,AI-based Detection,43
2324,Australia,2017,Malware,Banking,"$25,760,000","801,821",Unknown,Weak Passwords,AI-based Detection,18
2325,China,2016,Ransomware,Government,"$72,250,000","860,664",Unknown,Zero-day,Firewall,10
2326,Japan,2018,Man in the Middle,Education,"$20,850,000","511,823",Insider,Zero-day,AI-based Detection,43
2327,Germany,2024,Man in the Middle,IT,"$93,130,000","952,299",Unknown,Weak Passwords,VPN,33
2328,India,2018,Phishing,Education,"$5,270,000","982,450",Unknown,Weak Passwords,Firewall,32
2329,Australia,2024,DDoS,Retail,"$28,160,000","411,083",Unknown,Weak Passwords,Firewall,30
2330,USA,2019,Man in the Middle,Government,"$17,590,000","43,140",Insider,Social Engineering,AI-based Detection,28
2331,UK,2018,Malware,Education,"$51,590,000","935,465",Nation-state,Weak Passwords,AI-based Detection,28
2332,Germany,2018,DDoS,Banking,"$81,340,000","52,799",Insider,Zero-day,AI-based Detection,38
2333,China,2020,SQL Injection,Communications,"$70,020,000","688,312",Nation-state,Unpatched Software,VPN,48
2334,France,2024,Phishing,Government,"$5,180,000","219,162",Hacker Group,Unpatched Software,Encryption,23
2335,UK,2017,Man in the Middle,Communications,"$60,010,000","740,448",Hacker Group,Weak Passwords,Encryption,26
2336,France,2016,Ransomware,Banking,"$62,730,000","596,776",Nation-state,Zero-day,Firewall,17
2337,Australia,2022,SQL Injection,Communications,"$56,200,000","571,454",Insider,Weak Passwords,VPN,42
2338,Russia,2020,DDoS,Government,"$72,590,000","787,260",Insider,Weak Passwords,Firewall,15
2339,UK,2018,Malware,Healthcare,"$19,790,000","805,745",Insider,Weak Passwords,Firewall,7
2340,Russia,2020,SQL Injection,Communications,"$35,020,000","377,194",Unknown,Weak Passwords,Firewall,50
2341,China,2023,Malware,Education,"$37,070,000","417,554",Insider,Unpatched Software,Antivirus,35
2342,China,2019,SQL Injection,Government,"$65,850,000","252,025",Hacker Group,Zero-day,Encryption,60
2343,India,2015,Ransomware,Education,"$96,030,000","898,251",Hacker Group,Weak Passwords,Antivirus,70
2344,Brazil,2015,Man in the Middle,Banking,"$74,270,000","551,388",Unknown,Unpatched Software,Encryption,51
2345,India,2017,DDoS,Banking,"$45,980,000","538,245",Hacker Group,Weak Passwords,AI-based Detection,18
2346,India,2021,Malware,Communications,"$50,970,000","838,461",Nation-state,Zero-day,AI-based Detection,6
2347,Brazil,2020,SQL Injection,Banking,"$68,050,000","912,770",Unknown,Zero-day,AI-based Detection,67
2348,India,2021,DDoS,Education,"$95,950,000","62,194",Nation-state,Zero-day,AI-based Detection,12
2349,UK,2023,Man in the Middle,Banking,"$15,010,000","416,522",Insider,Social Engineering,VPN,63
2350,UK,2021,DDoS,IT,"$70,490,000","530,341",Insider,Social Engineering,VPN,40
2351,Japan,2022,Ransomware,IT,"$73,100,000","346,939",Insider,Weak Passwords,VPN,21
2352,Russia,2021,Phishing,Banking,"$78,450,000","56,333",Unknown,Social Engineering,VPN,8
2353,Germany,2018,Ransomware,IT,"$27,510,000","644,913",Unknown,Weak Passwords,VPN,32
2354,Japan,2017,SQL Injection,Banking,"$18,010,000","295,917",Unknown,Weak Passwords,VPN,57
2355,India,2020,Malware,Healthcare,"$20,620,000","54,206",Insider,Unpatched Software,VPN,51
2356,India,2018,DDoS,Communications,"$47,500,000","423,071",Unknown,Unpatched Software,Antivirus,69
2357,Australia,2021,Man in the Middle,Healthcare,"$17,620,000","687,020",Unknown,Weak Passwords,Antivirus,48
2358,USA,2020,Ransomware,Education,"$77,090,000","550,317",Insider,Weak Passwords,Encryption,63
2359,Germany,2021,Phishing,Banking,"$48,000,000","170,032",Nation-state,Social Engineering,Encryption,24
2360,China,2020,SQL Injection,Healthcare,"$11,550,000","388,591",Unknown,Zero-day,Antivirus,68
2361,India,2023,DDoS,Healthcare,"$2,270,000","438,318",Hacker Group,Unpatched Software,AI-based Detection,39
2362,India,2018,DDoS,Education,"$1,710,000","63,389",Insider,Unpatched Software,VPN,20
2363,USA,2015,Man in the Middle,Retail,"$95,660,000","377,602",Nation-state,Zero-day,Firewall,15
2364,France,2021,SQL Injection,Government,"$42,750,000","467,551",Unknown,Unpatched Software,Encryption,61
2365,UK,2022,Malware,Communications,"$38,760,000","361,529",Nation-state,Social Engineering,Firewall,67
2366,Australia,2019,Man in the Middle,Retail,"$15,210,000","677,755",Hacker Group,Social Engineering,Firewall,52
2367,UK,2022,Man in the Middle,IT,"$66,250,000","303,838",Nation-state,Zero-day,AI-based Detection,56
2368,India,2016,Ransomware,Banking,"$93,740,000","339,815",Insider,Weak Passwords,Firewall,58
2369,Russia,2020,Ransomware,Banking,"$13,660,000","820,140",Insider,Social Engineering,VPN,63
2370,Russia,2015,Ransomware,IT,"$49,300,000","879,875",Insider,Zero-day,Encryption,61
2371,Brazil,2022,Man in the Middle,Healthcare,"$40,940,000","987,320",Unknown,Zero-day,AI-based Detection,44
2372,Japan,2023,SQL Injection,Government,"$13,510,000","772,948",Unknown,Zero-day,VPN,43
2373,Brazil,2015,Phishing,Healthcare,"$84,830,000","794,914",Insider,Social Engineering,Firewall,34
2374,Brazil,2019,DDoS,Communications,"$36,980,000","198,563",Hacker Group,Social Engineering,Firewall,24
2375,Germany,2022,DDoS,Retail,"$21,450,000","32,346",Nation-state,Unpatched Software,AI-based Detection,38
2376,China,2015,Phishing,Banking,"$18,390,000","541,829",Nation-state,Zero-day,Antivirus,33
2377,Russia,2024,Phishing,Communications,"$21,220,000","446,028",Hacker Group,Weak Passwords,VPN,37
2378,France,2022,Malware,Education,"$13,060,000","759,625",Insider,Social Engineering,Encryption,14
2379,Brazil,2017,Phishing,Retail,"$3,180,000","520,654",Nation-state,Social Engineering,VPN,53
2380,USA,2023,DDoS,IT,"$99,640,000","248,383",Insider,Social Engineering,Firewall,55
2381,China,2017,Man in the Middle,Banking,"$62,390,000","855,974",Unknown,Social Engineering,VPN,44
2382,China,2020,Malware,Government,"$84,230,000","50,842",Insider,Zero-day,AI-based Detection,59
2383,Germany,2015,Man in the Middle,Education,"$81,500,000","697,275",Nation-state,Weak Passwords,Encryption,59
2384,Germany,2022,Man in the Middle,Communications,"$540,000","419,912",Nation-state,Zero-day,AI-based Detection,40
2385,Japan,2023,Man in the Middle,Banking,"$65,800,000","193,620",Nation-state,Zero-day,VPN,67
2386,China,2024,SQL Injection,Banking,"$58,320,000","777,684",Unknown,Zero-day,VPN,31
2387,UK,2018,Malware,Healthcare,"$27,610,000","375,245",Hacker Group,Social Engineering,Firewall,20
2388,China,2023,Man in the Middle,IT,"$22,960,000","656,090",Insider,Unpatched Software,Encryption,27
2389,Australia,2016,Man in the Middle,IT,"$80,270,000","653,967",Unknown,Unpatched Software,Encryption,21
2390,India,2022,SQL Injection,Education,"$830,000","977,791",Unknown,Weak Passwords,Antivirus,15
2391,UK,2023,DDoS,Communications,"$81,910,000","397,687",Hacker Group,Social Engineering,VPN,65
2392,France,2017,Malware,Banking,"$40,870,000","719,537",Nation-state,Zero-day,AI-based Detection,23
2393,Brazil,2017,DDoS,Communications,"$34,790,000","724,790",Hacker Group,Unpatched Software,Firewall,64
2394,France,2016,Phishing,IT,"$33,330,000","51,723",Hacker Group,Weak Passwords,Encryption,23
2395,India,2023,Ransomware,Healthcare,"$18,260,000","312,340",Nation-state,Zero-day,VPN,35
2396,India,2016,Man in the Middle,Banking,"$15,280,000","995,025",Unknown,Weak Passwords,AI-based Detection,52
2397,France,2024,SQL Injection,Communications,"$48,770,000","336,356",Hacker Group,Unpatched Software,Encryption,2
2398,France,2017,Ransomware,Retail,"$48,930,000","886,212",Unknown,Weak Passwords,Encryption,67
2399,Japan,2016,Ransomware,Healthcare,"$37,230,000","209,358",Nation-state,Social Engineering,Firewall,25
2400,Russia,2022,DDoS,Education,"$69,240,000","495,616",Nation-state,Unpatched Software,Antivirus,38
2401,China,2021,SQL Injection,Government,"$55,550,000","224,311",Insider,Zero-day,Firewall,57
2402,Japan,2022,DDoS,IT,"$51,950,000","65,516",Insider,Weak Passwords,Firewall,37
2403,Germany,2024,Ransomware,Government,"$40,360,000","301,972",Unknown,Weak Passwords,VPN,33
2404,Germany,2015,Phishing,Communications,"$47,040,000","124,250",Insider,Zero-day,AI-based Detection,64
2405,USA,2018,Man in the Middle,Healthcare,"$22,610,000","733,934",Nation-state,Zero-day,Firewall,31
2406,Brazil,2022,Malware,IT,"$19,260,000","377,446",Unknown,Zero-day,AI-based Detection,12
2407,China,2021,SQL Injection,IT,"$98,570,000","430,792",Insider,Weak Passwords,Antivirus,9
2408,UK,2015,Malware,IT,"$96,790,000","825,881",Unknown,Zero-day,AI-based Detection,35
2409,USA,2020,Malware,Communications,"$27,160,000","858,207",Nation-state,Unpatched Software,AI-based Detection,42
2410,Germany,2021,Ransomware,Healthcare,"$16,640,000","912,847",Unknown,Weak Passwords,Antivirus,27
2411,UK,2018,Malware,Banking,"$41,340,000","82,287",Unknown,Unpatched Software,Encryption,61
2412,USA,2020,Man in the Middle,Education,"$44,850,000","527,938",Nation-state,Zero-day,Encryption,1
2413,UK,2022,DDoS,Communications,"$50,900,000","645,154",Insider,Weak Passwords,AI-based Detection,16
2414,India,2018,Ransomware,Retail,"$26,010,000","732,636",Hacker Group,Zero-day,VPN,3
2415,Russia,2015,DDoS,Retail,"$69,610,000","26,321",Nation-state,Zero-day,Encryption,11
2416,Germany,2023,Ransomware,Banking,"$52,880,000","982,507",Unknown,Unpatched Software,Encryption,39
2417,Russia,2019,Malware,Retail,"$11,570,000","367,712",Nation-state,Weak Passwords,Firewall,13
2418,Russia,2015,DDoS,Communications,"$83,280,000","236,346",Insider,Unpatched Software,AI-based Detection,55
2419,Australia,2018,SQL Injection,Retail,"$51,460,000","287,089",Nation-state,Weak Passwords,Encryption,8
2420,Brazil,2024,Malware,Healthcare,"$50,710,000","964,191",Unknown,Weak Passwords,VPN,36
2421,China,2016,SQL Injection,Healthcare,"$52,680,000","55,913",Nation-state,Social Engineering,Antivirus,70
2422,Japan,2015,Phishing,Government,"$98,290,000","850,600",Insider,Zero-day,Encryption,17
2423,France,2024,Phishing,Retail,"$45,570,000","201,137",Hacker Group,Zero-day,Antivirus,25
2424,Germany,2017,Malware,Healthcare,"$1,680,000","859,708",Nation-state,Weak Passwords,Encryption,10
2425,Russia,2016,Phishing,Government,"$2,740,000","863,777",Insider,Zero-day,Antivirus,20
2426,Japan,2024,SQL Injection,Banking,"$67,370,000","521,384",Unknown,Social Engineering,Antivirus,32
2427,Russia,2022,SQL Injection,Government,"$69,090,000","474,183",Insider,Weak Passwords,Antivirus,27
2428,Brazil,2018,SQL Injection,Retail,"$36,630,000","829,742",Insider,Unpatched Software,Firewall,57
2429,USA,2021,DDoS,Communications,"$99,810,000","460,842",Unknown,Weak Passwords,AI-based Detection,59
2430,Australia,2022,Malware,Retail,"$47,330,000","839,881",Unknown,Zero-day,Firewall,51
2431,Brazil,2017,DDoS,IT,"$72,480,000","860,625",Unknown,Zero-day,Firewall,4
2432,UK,2019,SQL Injection,Healthcare,"$65,470,000","263,110",Insider,Social Engineering,Firewall,6
2433,Japan,2020,Man in the Middle,IT,"$13,610,000","506,364",Nation-state,Social Engineering,Firewall,66
2434,USA,2021,Phishing,Education,"$6,010,000","176,772",Insider,Unpatched Software,Firewall,6
2435,Brazil,2021,SQL Injection,Retail,"$1,320,000","564,277",Nation-state,Weak Passwords,Firewall,1
2436,Australia,2017,Man in the Middle,Retail,"$47,970,000","36,780",Insider,Unpatched Software,AI-based Detection,64
2437,Germany,2021,Ransomware,Retail,"$46,820,000","589,744",Nation-state,Weak Passwords,VPN,32
2438,Russia,2018,Malware,Government,"$59,010,000","309,230",Hacker Group,Social Engineering,Encryption,61
2439,China,2024,Man in the Middle,Communications,"$53,590,000","4,913",Hacker Group,Weak Passwords,AI-based Detection,61
2440,Brazil,2020,SQL Injection,Education,"$50,410,000","350,295",Insider,Unpatched Software,Encryption,5
2441,USA,2020,DDoS,Banking,"$60,200,000","998,937",Nation-state,Zero-day,Antivirus,19
2442,Brazil,2018,Malware,Communications,"$96,220,000","445,546",Nation-state,Weak Passwords,Firewall,45
2443,Brazil,2023,SQL Injection,Healthcare,"$7,330,000","486,146",Insider,Zero-day,Firewall,12
2444,UK,2016,Phishing,Education,"$29,490,000","466,333",Hacker Group,Zero-day,Firewall,51
2445,Japan,2019,Phishing,Government,"$73,350,000","706,019",Nation-state,Zero-day,Encryption,65
2446,UK,2020,DDoS,Retail,"$70,030,000","971,464",Nation-state,Weak Passwords,Firewall,4
2447,India,2015,Man in the Middle,IT,"$76,970,000","224,983",Nation-state,Weak Passwords,AI-based Detection,42
2448,Brazil,2019,Ransomware,Communications,"$87,410,000","919,425",Nation-state,Unpatched Software,Encryption,45
2449,Russia,2023,DDoS,Communications,"$57,250,000","115,138",Unknown,Unpatched Software,Encryption,42
2450,Japan,2020,Phishing,IT,"$99,570,000","786,468",Nation-state,Social Engineering,AI-based Detection,42
2451,India,2023,Phishing,Retail,"$5,110,000","620,560",Hacker Group,Weak Passwords,Antivirus,59
2452,USA,2017,Malware,Government,"$56,740,000","976,007",Insider,Social Engineering,Encryption,59
2453,France,2016,DDoS,Education,"$46,580,000","361,163",Hacker Group,Zero-day,Firewall,38
2454,Brazil,2017,Ransomware,Healthcare,"$54,780,000","469,735",Nation-state,Zero-day,Encryption,57
2455,USA,2015,Man in the Middle,IT,"$46,270,000","117,231",Unknown,Unpatched Software,AI-based Detection,28
2456,Germany,2018,Ransomware,Healthcare,"$14,380,000","276,925",Unknown,Unpatched Software,VPN,54
2457,Australia,2019,Malware,Communications,"$37,300,000","208,089",Unknown,Zero-day,Antivirus,33
2458,Australia,2016,Phishing,Communications,"$63,810,000","71,720",Hacker Group,Zero-day,Encryption,21
2459,Russia,2024,Ransomware,Communications,"$35,620,000","236,676",Nation-state,Social Engineering,AI-based Detection,67
2460,India,2024,Man in the Middle,Communications,"$93,460,000","409,281",Nation-state,Weak Passwords,Antivirus,18
2461,Japan,2023,Phishing,Banking,"$82,360,000","612,815",Insider,Zero-day,Antivirus,12
2462,Russia,2018,SQL Injection,Communications,"$11,320,000","153,618",Nation-state,Weak Passwords,VPN,29
2463,India,2023,Ransomware,Banking,"$57,150,000","704,230",Nation-state,Zero-day,VPN,71
2464,China,2019,Malware,Retail,"$79,370,000","863,510",Hacker Group,Weak Passwords,VPN,2
2465,India,2024,DDoS,Healthcare,"$4,080,000","488,599",Unknown,Social Engineering,Encryption,11
2466,France,2022,Ransomware,Healthcare,"$80,730,000","964,782",Unknown,Weak Passwords,VPN,47
2467,Germany,2018,Man in the Middle,IT,"$48,960,000","323,027",Unknown,Unpatched Software,Encryption,49
2468,China,2023,Man in the Middle,Education,"$10,550,000","12,970",Unknown,Social Engineering,Antivirus,32
2469,India,2020,Man in the Middle,Government,"$50,190,000","659,835",Unknown,Zero-day,Encryption,46
2470,China,2023,SQL Injection,Communications,"$66,920,000","336,320",Hacker Group,Social Engineering,VPN,51
2471,China,2017,Man in the Middle,Banking,"$47,520,000","83,617",Insider,Unpatched Software,AI-based Detection,64
2472,Brazil,2018,Malware,Banking,"$87,130,000","99,178",Nation-state,Unpatched Software,Antivirus,27
2473,Brazil,2024,Ransomware,Education,"$80,100,000","489,369",Nation-state,Unpatched Software,Encryption,41
2474,Russia,2017,Phishing,Communications,"$2,220,000","620,350",Hacker Group,Zero-day,Firewall,45
2475,USA,2020,DDoS,Healthcare,"$38,140,000","846,602",Insider,Weak Passwords,Firewall,31
2476,India,2017,Malware,Government,"$61,020,000","650,042",Nation-state,Unpatched Software,Antivirus,48
2477,Japan,2019,Man in the Middle,Government,"$61,010,000","549,197",Hacker Group,Social Engineering,Antivirus,59
2478,France,2023,Phishing,IT,"$15,490,000","138,639",Hacker Group,Unpatched Software,VPN,14
2479,Australia,2024,Man in the Middle,Healthcare,"$93,400,000","833,819",Insider,Unpatched Software,Antivirus,14
2480,India,2022,Malware,Retail,"$13,880,000","813,217",Insider,Zero-day,AI-based Detection,71
2481,UK,2017,Malware,Banking,"$11,250,000","636,273",Insider,Zero-day,Antivirus,30
2482,Russia,2017,Man in the Middle,Banking,"$66,530,000","45,277",Insider,Social Engineering,Firewall,43
2483,Australia,2015,Phishing,Communications,"$89,410,000","488,342",Hacker Group,Unpatched Software,Firewall,23
2484,France,2019,Phishing,IT,"$55,310,000","526,220",Nation-state,Social Engineering,AI-based Detection,2
2485,USA,2023,DDoS,Education,"$90,380,000","311,596",Insider,Weak Passwords,VPN,23
2486,Brazil,2024,DDoS,Retail,"$25,170,000","658,226",Insider,Weak Passwords,VPN,52
2487,India,2019,Phishing,Education,"$6,290,000","344,693",Hacker Group,Social Engineering,Encryption,19
2488,France,2016,Phishing,Education,"$37,570,000","380,995",Unknown,Weak Passwords,VPN,60
2489,Brazil,2018,Malware,Banking,"$3,100,000","458,185",Insider,Social Engineering,AI-based Detection,31
2490,Brazil,2022,Man in the Middle,Education,"$91,690,000","581,034",Insider,Social Engineering,VPN,67
2491,Russia,2019,Ransomware,Retail,"$19,970,000","722,544",Hacker Group,Social Engineering,Encryption,14
2492,Brazil,2024,Phishing,IT,"$28,780,000","793,783",Insider,Social Engineering,Firewall,17
2493,China,2023,SQL Injection,IT,"$53,210,000","620,822",Unknown,Zero-day,Firewall,21
2494,Russia,2022,Ransomware,Healthcare,"$16,600,000","715,102",Insider,Zero-day,Antivirus,2
2495,Russia,2021,Man in the Middle,Banking,"$44,320,000","634,390",Unknown,Zero-day,Antivirus,54
2496,Japan,2021,Ransomware,Government,"$10,340,000","791,473",Nation-state,Weak Passwords,Firewall,58
2497,China,2022,Phishing,IT,"$41,810,000","631,816",Unknown,Weak Passwords,Firewall,29
2498,Germany,2016,Malware,Banking,"$84,540,000","517,353",Nation-state,Social Engineering,Antivirus,41
2499,Japan,2015,Malware,Communications,"$40,380,000","118,734",Insider,Unpatched Software,AI-based Detection,21
2500,India,2020,Man in the Middle,Education,"$39,150,000","963,367",Insider,Zero-day,Encryption,50
2501,Australia,2021,SQL Injection,Communications,"$22,510,000","71,557",Insider,Social Engineering,Antivirus,47
2502,Brazil,2017,Ransomware,Government,"$58,180,000","824,704",Hacker Group,Zero-day,Antivirus,30
2503,Germany,2023,Man in the Middle,Banking,"$92,480,000","1,326",Nation-state,Social Engineering,Antivirus,11
2504,UK,2015,Phishing,Banking,"$51,380,000","630,931",Insider,Zero-day,AI-based Detection,48
2505,Germany,2016,Phishing,Government,"$93,610,000","395,731",Insider,Unpatched Software,AI-based Detection,64
2506,Australia,2017,Ransomware,Government,"$27,380,000","918,816",Unknown,Weak Passwords,AI-based Detection,58
2507,Australia,2021,Malware,Healthcare,"$74,610,000","357,205",Nation-state,Weak Passwords,Antivirus,21
2508,UK,2019,SQL Injection,IT,"$78,840,000","464,960",Unknown,Unpatched Software,Encryption,24
2509,USA,2019,Ransomware,Communications,"$65,700,000","51,619",Insider,Unpatched Software,VPN,3
2510,Brazil,2017,Phishing,IT,"$81,040,000","850,794",Unknown,Social Engineering,Antivirus,69
2511,France,2015,Man in the Middle,Banking,"$27,200,000","559,841",Nation-state,Unpatched Software,VPN,22
2512,China,2018,DDoS,Healthcare,"$86,380,000","685,136",Nation-state,Weak Passwords,Antivirus,62
2513,Brazil,2016,Malware,Education,"$83,930,000","102,797",Unknown,Weak Passwords,Firewall,17
2514,France,2022,Ransomware,Healthcare,"$40,360,000","439,046",Insider,Social Engineering,VPN,42
2515,USA,2019,SQL Injection,Communications,"$57,400,000","51,312",Insider,Social Engineering,AI-based Detection,26
2516,Brazil,2022,Ransomware,Retail,"$1,420,000","510,870",Unknown,Unpatched Software,AI-based Detection,35
2517,Russia,2021,SQL Injection,Government,"$66,500,000","348,118",Hacker Group,Zero-day,VPN,42
2518,Australia,2016,Ransomware,Healthcare,"$47,180,000","509,930",Unknown,Social Engineering,AI-based Detection,68
2519,UK,2016,Ransomware,IT,"$58,990,000","822,380",Hacker Group,Zero-day,Firewall,26
2520,Germany,2022,SQL Injection,Banking,"$52,910,000","619,669",Unknown,Unpatched Software,Antivirus,19
2521,Australia,2023,SQL Injection,Communications,"$20,950,000","341,111",Insider,Weak Passwords,VPN,14
2522,France,2018,Ransomware,Government,"$2,790,000","443,730",Hacker Group,Weak Passwords,Antivirus,39
2523,Japan,2017,DDoS,IT,"$27,760,000","824,968",Insider,Weak Passwords,Encryption,15
2524,Japan,2016,Man in the Middle,Retail,"$58,770,000","172,346",Nation-state,Social Engineering,AI-based Detection,51
2525,Germany,2022,DDoS,Communications,"$51,950,000","919,855",Hacker Group,Weak Passwords,Antivirus,56
2526,Germany,2021,Man in the Middle,IT,"$90,570,000","254,634",Hacker Group,Social Engineering,AI-based Detection,5
2527,France,2022,Phishing,Retail,"$39,150,000","724,409",Unknown,Weak Passwords,Antivirus,56
2528,UK,2018,Phishing,Healthcare,"$95,300,000","269,142",Unknown,Unpatched Software,Encryption,72
2529,India,2024,Phishing,Retail,"$92,480,000","32,067",Insider,Unpatched Software,Antivirus,19
2530,Germany,2020,Malware,Government,"$32,200,000","591,314",Hacker Group,Weak Passwords,Encryption,65
2531,Germany,2019,SQL Injection,Healthcare,"$91,720,000","149,171",Hacker Group,Zero-day,VPN,64
2532,Brazil,2016,DDoS,IT,"$13,520,000","535,205",Hacker Group,Social Engineering,AI-based Detection,53
2533,Germany,2022,Ransomware,Education,"$87,930,000","471,889",Nation-state,Zero-day,Antivirus,4
2534,France,2019,Phishing,Healthcare,"$52,180,000","869,751",Insider,Zero-day,Firewall,12
2535,Russia,2017,DDoS,Education,"$50,420,000","690,010",Nation-state,Weak Passwords,Firewall,18
2536,Brazil,2017,Ransomware,Healthcare,"$32,900,000","433,987",Unknown,Zero-day,AI-based Detection,21
2537,UK,2017,Phishing,Banking,"$1,540,000","31,262",Unknown,Social Engineering,Firewall,56
2538,Australia,2022,Malware,Retail,"$32,260,000","824,433",Nation-state,Unpatched Software,AI-based Detection,60
2539,Germany,2023,Man in the Middle,Retail,"$23,280,000","651,963",Insider,Unpatched Software,AI-based Detection,53
2540,France,2017,SQL Injection,Education,"$81,060,000","349,070",Unknown,Zero-day,VPN,41
2541,USA,2024,Malware,Communications,"$71,420,000","967,411",Hacker Group,Social Engineering,AI-based Detection,47
2542,Japan,2021,SQL Injection,Retail,"$64,810,000","263,770",Unknown,Social Engineering,Antivirus,62
2543,UK,2016,Phishing,Retail,"$85,890,000","714,670",Hacker Group,Weak Passwords,VPN,32
2544,USA,2021,DDoS,Communications,"$47,840,000","498,904",Hacker Group,Zero-day,Antivirus,65
2545,USA,2024,Phishing,Education,"$47,950,000","569,539",Unknown,Weak Passwords,Encryption,18
2546,China,2016,Man in the Middle,Retail,"$82,520,000","217,938",Nation-state,Weak Passwords,VPN,69
2547,China,2022,Ransomware,Retail,"$36,480,000","172,607",Unknown,Zero-day,VPN,60
2548,India,2023,Man in the Middle,Retail,"$95,660,000","424,762",Insider,Unpatched Software,VPN,10
2549,Japan,2019,Man in the Middle,IT,"$42,340,000","130,309",Insider,Zero-day,AI-based Detection,56
2550,India,2018,DDoS,Government,"$65,110,000","95,378",Insider,Social Engineering,Antivirus,67
2551,India,2017,Phishing,IT,"$53,950,000","920,801",Nation-state,Zero-day,Antivirus,52
2552,Japan,2020,Man in the Middle,Retail,"$91,360,000","551,038",Insider,Social Engineering,Firewall,21
2553,China,2016,Malware,Communications,"$85,800,000","962,508",Unknown,Social Engineering,AI-based Detection,13
2554,France,2020,Malware,Healthcare,"$92,290,000","267,554",Hacker Group,Social Engineering,Firewall,45
2555,Japan,2020,Ransomware,IT,"$25,300,000","76,258",Unknown,Social Engineering,VPN,43
2556,Russia,2016,Malware,Banking,"$3,600,000","661,377",Hacker Group,Weak Passwords,Antivirus,66
2557,Australia,2022,SQL Injection,Retail,"$56,620,000","310,341",Unknown,Weak Passwords,Encryption,32
2558,Russia,2017,Phishing,Education,"$66,250,000","702,883",Insider,Unpatched Software,VPN,31
2559,USA,2017,Malware,Education,"$78,380,000","516,103",Hacker Group,Unpatched Software,Firewall,62
2560,USA,2015,Malware,Retail,"$84,700,000","542,283",Hacker Group,Social Engineering,Firewall,64
2561,Russia,2016,SQL Injection,Government,"$43,750,000","173,441",Hacker Group,Social Engineering,Antivirus,43
2562,France,2017,DDoS,Retail,"$67,360,000","856,228",Hacker Group,Zero-day,Encryption,47
2563,UK,2019,Malware,IT,"$68,540,000","791,265",Hacker Group,Social Engineering,Firewall,65
